tensor_degree,pipeline_degree,max_input_length,max_output_length,model
2,0,4096,4096,meta-llama/Llama-3.3-70B-Instruct
2,0,4096,32768,meta-llama/Llama-3.3-70B-Instruct
2,0,10000,1024,meta-llama/Llama-3.3-70B-Instruct
2,0,10000,4096,meta-llama/Llama-3.3-70B-Instruct
2,0,10000,32768,meta-llama/Llama-3.3-70B-Instruct
2,0,32000,1024,meta-llama/Llama-3.3-70B-Instruct
2,0,32000,4096,meta-llama/Llama-3.3-70B-Instruct
2,0,32000,32768,meta-llama/Llama-3.3-70B-Instruct
2,1,4096,1024,meta-llama/Llama-3.3-70B-Instruct
2,1,4096,4096,meta-llama/Llama-3.3-70B-Instruct
2,1,4096,32768,meta-llama/Llama-3.3-70B-Instruct
2,1,10000,1024,meta-llama/Llama-3.3-70B-Instruct
2,1,10000,4096,meta-llama/Llama-3.3-70B-Instruct
2,1,10000,32768,meta-llama/Llama-3.3-70B-Instruct
2,1,32000,1024,meta-llama/Llama-3.3-70B-Instruct
2,1,32000,4096,meta-llama/Llama-3.3-70B-Instruct
2,1,32000,32768,meta-llama/Llama-3.3-70B-Instruct
2,2,4096,1024,meta-llama/Llama-3.3-70B-Instruct
2,2,4096,4096,meta-llama/Llama-3.3-70B-Instruct
2,2,4096,32768,meta-llama/Llama-3.3-70B-Instruct
2,2,10000,1024,meta-llama/Llama-3.3-70B-Instruct
2,2,10000,4096,meta-llama/Llama-3.3-70B-Instruct
2,2,10000,32768,meta-llama/Llama-3.3-70B-Instruct
2,2,32000,1024,meta-llama/Llama-3.3-70B-Instruct
2,2,32000,4096,meta-llama/Llama-3.3-70B-Instruct
2,2,32000,32768,meta-llama/Llama-3.3-70B-Instruct
2,3,4096,1024,meta-llama/Llama-3.3-70B-Instruct
2,3,4096,4096,meta-llama/Llama-3.3-70B-Instruct
2,3,4096,32768,meta-llama/Llama-3.3-70B-Instruct
2,3,10000,1024,meta-llama/Llama-3.3-70B-Instruct
2,3,10000,4096,meta-llama/Llama-3.3-70B-Instruct
2,3,10000,32768,meta-llama/Llama-3.3-70B-Instruct
2,3,32000,1024,meta-llama/Llama-3.3-70B-Instruct
2,3,32000,4096,meta-llama/Llama-3.3-70B-Instruct
2,3,32000,32768,meta-llama/Llama-3.3-70B-Instruct
2,4,4096,1024,meta-llama/Llama-3.3-70B-Instruct
2,4,4096,4096,meta-llama/Llama-3.3-70B-Instruct
2,4,4096,32768,meta-llama/Llama-3.3-70B-Instruct
2,4,10000,1024,meta-llama/Llama-3.3-70B-Instruct
2,4,10000,4096,meta-llama/Llama-3.3-70B-Instruct
2,4,10000,32768,meta-llama/Llama-3.3-70B-Instruct
2,4,32000,1024,meta-llama/Llama-3.3-70B-Instruct
2,4,32000,4096,meta-llama/Llama-3.3-70B-Instruct
2,4,32000,32768,meta-llama/Llama-3.3-70B-Instruct
4,0,4096,1024,meta-llama/Llama-3.3-70B-Instruct
4,0,4096,4096,meta-llama/Llama-3.3-70B-Instruct
4,0,4096,32768,meta-llama/Llama-3.3-70B-Instruct
4,0,10000,1024,meta-llama/Llama-3.3-70B-Instruct
4,0,10000,4096,meta-llama/Llama-3.3-70B-Instruct
4,0,10000,32768,meta-llama/Llama-3.3-70B-Instruct
4,0,32000,1024,meta-llama/Llama-3.3-70B-Instruct
4,0,32000,4096,meta-llama/Llama-3.3-70B-Instruct
4,0,32000,32768,meta-llama/Llama-3.3-70B-Instruct
4,1,4096,1024,meta-llama/Llama-3.3-70B-Instruct
4,1,4096,4096,meta-llama/Llama-3.3-70B-Instruct
4,1,4096,32768,meta-llama/Llama-3.3-70B-Instruct
4,1,10000,1024,meta-llama/Llama-3.3-70B-Instruct
4,1,10000,4096,meta-llama/Llama-3.3-70B-Instruct
4,1,10000,32768,meta-llama/Llama-3.3-70B-Instruct
4,1,32000,1024,meta-llama/Llama-3.3-70B-Instruct
4,1,32000,4096,meta-llama/Llama-3.3-70B-Instruct
4,1,32000,32768,meta-llama/Llama-3.3-70B-Instruct
4,2,4096,1024,meta-llama/Llama-3.3-70B-Instruct
4,2,4096,4096,meta-llama/Llama-3.3-70B-Instruct
4,2,4096,32768,meta-llama/Llama-3.3-70B-Instruct
4,2,10000,1024,meta-llama/Llama-3.3-70B-Instruct
4,2,10000,4096,meta-llama/Llama-3.3-70B-Instruct
4,2,10000,32768,meta-llama/Llama-3.3-70B-Instruct
4,2,32000,1024,meta-llama/Llama-3.3-70B-Instruct
4,2,32000,4096,meta-llama/Llama-3.3-70B-Instruct
4,2,32000,32768,meta-llama/Llama-3.3-70B-Instruct
4,3,4096,1024,meta-llama/Llama-3.3-70B-Instruct
4,3,4096,4096,meta-llama/Llama-3.3-70B-Instruct
4,3,4096,32768,meta-llama/Llama-3.3-70B-Instruct
4,3,10000,1024,meta-llama/Llama-3.3-70B-Instruct
4,3,10000,4096,meta-llama/Llama-3.3-70B-Instruct
4,3,10000,32768,meta-llama/Llama-3.3-70B-Instruct
4,3,32000,1024,meta-llama/Llama-3.3-70B-Instruct
4,3,32000,4096,meta-llama/Llama-3.3-70B-Instruct
4,3,32000,32768,meta-llama/Llama-3.3-70B-Instruct
4,4,4096,1024,meta-llama/Llama-3.3-70B-Instruct
4,4,4096,4096,meta-llama/Llama-3.3-70B-Instruct
4,4,4096,32768,meta-llama/Llama-3.3-70B-Instruct
4,4,10000,1024,meta-llama/Llama-3.3-70B-Instruct
4,4,10000,4096,meta-llama/Llama-3.3-70B-Instruct
4,4,10000,32768,meta-llama/Llama-3.3-70B-Instruct
4,4,32000,1024,meta-llama/Llama-3.3-70B-Instruct
4,4,32000,4096,meta-llama/Llama-3.3-70B-Instruct
4,4,32000,32768,meta-llama/Llama-3.3-70B-Instruct
